station,lat,long
I28,32.59383,-117.264
I29,32.5945,-117.223
I30,32.59533,-117.197
I31,32.5955,-117.172
I32,32.59467,-117.138
I33,32.62383,-117.237
I34,32.63,-117.216
I35,32.63667,-117.182
I36,32.63917,-117.154
I37,32.648,-117.21633
I38,32.66883,-117.18667
D1,32.58458,-117.13262
D2,32.637,-117.14412
D3,32.67627,-117.17895
D4,32.6656,-117.24358
D5,32.6808,-117.24895
D6,32.6987,-117.25542
D7,32.7193,-117.25728
D8,32.73702,-117.25527
D9,32.74667,-117.25402
I10,32.51667,-117.156
I11,32.51333,-117.137
I12,32.53283,-117.183
I14,32.543,-117.184
I15,32.53783,-117.189
I16,32.53783,-117.183
I17,32.53783,-117.178
I18,32.53617,-117.161
I19,32.53633,-117.129
I22,32.55333,-117.185
I23,32.55083,-117.165
I24,32.55667,-117.145
I25,32.56117,-117.148
I26,32.5745,-117.147
I27,32.57417,-117.191
I39,32.57233,-117.1675
I40,32.55383,-117.13617
I9,32.51167,-117.179
S1,32.4703,-117.121
S10,32.5433,-117.125
S11,32.5613,-117.132
S12,32.5857,-117.133
S2,32.4987,-117.123
S3,32.5257,-117.124
S4,32.5353,-117.125
S5,32.5578,-117.131
S6,32.5663,-117.133
S8,32.6368,-117.144
S9,32.677,-117.178
I1,32.47333,-117.277
I13,32.5375,-117.212
I2,32.47333,-117.199
I20,32.557,-117.257
I21,32.56067,-117.227
I3,32.467,-117.168
I4,32.47167,-117.14
I5,32.47167,-117.13
I6,32.4935,-117.163
I7,32.51667,-117.253
I8,32.51667,-117.202
B10,32.75367,-117.36933
B11,32.77617,-117.35583
B13,32.773,-117.37733
B8,32.75833,-117.34617
E11,32.65667,-117.32367
E13,32.66683,-117.31483
E15,32.66467,-117.33183
E17,32.67467,-117.32567
E19,32.684,-117.31967
E20,32.68267,-117.32783
E21,32.6815,-117.33333
E22,32.693,-117.32083
E23,32.69117,-117.3295
E24,32.69,-117.33433
E25,32.70633,-117.3345
E4,32.64167,-117.3095
E6,32.638,-117.33333
E7,32.65,-117.31083
E9,32.64583,-117.33433
A1,32.65933,-117.262
A11,32.66633,-117.27117
A13,32.68283,-117.27617
A17,32.67215,-117.28298
A6,32.69267,-117.26967
A7,32.6755,-117.26683
C4,32.66583,-117.24967
C5,32.67917,-117.25667
C6,32.69367,-117.26133
C7,32.71633,-117.27217
C8,32.73267,-117.27333
A10,32.65833,-117.26883
A12,32.6745,-117.27367
A14,32.6905,-117.27717
A2,32.65617,-117.278
A5,32.68867,-117.28783
B12,32.77267,-117.37167
B2,32.76667,-117.26967
B3,32.757,-117.30633
B5,32.82083,-117.32667
B9,32.7555,-117.36167
B1,32.58333,-117.26967
E10,32.65833,-117.3135
E12,32.65617,-117.33267
E14,32.66567,-117.32483
E16,32.67533,-117.31783
E18,32.673,-117.33133
E2,32.62417,-117.31817
E5,32.63967,-117.32133
E8,32.6485,-117.32233
S0,32.41913,-117.09728
D10,32.74917,-117.253
D11,32.754,-117.25267
D12,32.77133,-117.2535
F02,32.75697,-117.27273
F03,32.78183,-117.27242
F11,32.72555,-117.29463
F12,32.74658,-117.30207
F13,32.76538,-117.3072
F14,32.78157,-117.31142
F23,32.74188,-117.33042
F24,32.76122,-117.33645
F25,32.77895,-117.34358
F34,32.7389,-117.34937
F35,32.7577,-117.36338
F36,32.77678,-117.37457
F07,32.65113,-117.28
F08,32.67215,-117.28298
F09,32.68555,-117.28632
F10,32.70542,-117.29067
F19,32.66785,-117.30683
F20,32.68542,-117.31097
F21,32.7038,-117.31868
F22,32.72273,-117.3209
F30,32.66567,-117.32483
F31,32.68467,-117.32835
F32,32.70142,-117.33417
F33,32.72047,-117.33992
F01,32.63768,-117.24032
F04,32.59453,-117.26875
F05,32.61168,-117.26965
F06,32.63083,-117.2736
F15,32.5941,-117.28645
F16,32.61183,-117.29007
F17,32.63002,-117.29417
F18,32.64977,-117.29833
F26,32.59377,-117.3122
F27,32.61178,-117.32138
F28,32.62928,-117.32372
F29,32.64782,-117.32493
K4,32.06533,-117.0252
B6,32.82833,-117.2925
A3,32.65167,-117.29717
A4,32.6845,-117.307
A15,32.66833,-117.28167
A16,32.67633,-117.28417